Number of measurement points: 100
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.119995513232425	-0.301646030973643
1	0.1	-0.100670990068465	-0.301646030973643
2	0.2	-0.0993826885242015	-0.301646030973643
3	0.3	-0.101959291612729	-0.301646030973643
4	0.4	-0.100670990068465	-0.300357729429379
5	0.5	-0.101959291612729	-0.302934332517907
6	0.6	-0.101959291612729	-0.301646030973643
7	0.7	-0.101959291612729	-0.301646030973643
8	0.8	-0.100670990068465	-0.302934332517907
9	0.9	-0.101959291612729	-0.302934332517907
10	1	-0.100670990068465	-0.302934332517907
11	1.1	-0.100670990068465	-0.301646030973643
12	1.2	-0.100670990068465	-0.301646030973643
13	1.3	-0.100670990068465	-0.302934332517907
14	1.4	-0.101959291612729	-0.302934332517907
15	1.5	-0.100670990068465	-0.301646030973643
16	1.6	-0.100670990068465	-0.302934332517907
17	1.7	-0.101959291612729	-0.302934332517907
18	1.8	-0.100670990068465	-0.301646030973643
19	1.9	-0.100670990068465	-0.302934332517907
20	2	-0.0993826885242015	-0.302934332517907
21	2.1	-0.100670990068465	-0.302934332517907
22	2.2	-0.100670990068465	-0.302934332517907
23	2.3	-0.100670990068465	-0.302934332517907
24	2.4	-0.101959291612729	-0.302934332517907
25	2.5	-0.0993826885242015	-0.302934332517907
26	2.6	-0.101959291612729	-0.302934332517907
27	2.7	-0.101959291612729	-0.302934332517907
28	2.8	-0.100670990068465	-0.302934332517907
29	2.9	-0.101959291612729	-0.302934332517907
30	3	-0.101959291612729	-0.302934332517907
31	3.1	-0.100670990068465	-0.304222634062171
32	3.2	-0.100670990068465	-0.302934332517907
33	3.3	-0.100670990068465	-0.304222634062171
34	3.4	-0.101959291612729	-0.302934332517907
35	3.5	-0.101959291612729	-0.302934332517907
36	3.6	-0.101959291612729	-0.302934332517907
37	3.7	-0.101959291612729	-0.302934332517907
38	3.8	-0.103247593156993	-0.304222634062171
39	3.9	-0.0993826885242015	-0.302934332517907
40	4	-0.100670990068465	-0.302934332517907
41	4.1	-0.101959291612729	-0.302934332517907
42	4.2	-0.100670990068465	-0.304222634062171
43	4.3	-0.101959291612729	-0.302934332517907
44	4.4	-0.100670990068465	-0.304222634062171
45	4.5	-0.100670990068465	-0.304222634062171
46	4.6	-0.100670990068465	-0.304222634062171
47	4.7	-0.100670990068465	-0.304222634062171
48	4.8	-0.101959291612729	-0.302934332517907
49	4.9	-0.101959291612729	-0.302934332517907
50	5	-0.100670990068465	-0.304222634062171
51	5.1	-0.100670990068465	-0.302934332517907
52	5.2	-0.0993826885242015	-0.304222634062171
53	5.3	-0.101959291612729	-0.302934332517907
54	5.4	-0.100670990068465	-0.304222634062171
55	5.5	-0.0980943869799376	-0.304222634062171
56	5.6	-0.101959291612729	-0.302934332517907
57	5.7	-0.100670990068465	-0.304222634062171
58	5.8	-0.101959291612729	-0.304222634062171
59	5.9	-0.100670990068465	-0.304222634062171
60	6	-0.100670990068465	-0.304222634062171
61	6.1	-0.101959291612729	-0.304222634062171
62	6.2	-0.100670990068465	-0.304222634062171
63	6.3	-0.100670990068465	-0.304222634062171
64	6.4	-0.101959291612729	-0.304222634062171
65	6.5	-0.100670990068465	-0.304222634062171
66	6.6	-0.101959291612729	-0.304222634062171
67	6.7	-0.101959291612729	-0.304222634062171
68	6.8	-0.100670990068465	-0.304222634062171
69	6.9	-0.0993826885242015	-0.304222634062171
70	7	-0.101959291612729	-0.304222634062171
71	7.1	-0.101959291612729	-0.304222634062171
72	7.2	-0.100670990068465	-0.304222634062171
73	7.3	-0.0993826885242015	-0.304222634062171
74	7.4	-0.101959291612729	-0.302934332517907
75	7.5	-0.100670990068465	-0.304222634062171
76	7.6	-0.100670990068465	-0.304222634062171
77	7.7	-0.101959291612729	-0.304222634062171
78	7.8	-0.100670990068465	-0.304222634062171
79	7.9	-0.100670990068465	-0.304222634062171
80	8	-0.100670990068465	-0.304222634062171
81	8.1	-0.0993826885242015	-0.304222634062171
82	8.2	-0.100670990068465	-0.304222634062171
83	8.3	-0.100670990068465	-0.305510935606435
84	8.4	-0.100670990068465	-0.305510935606435
85	8.5	-0.100670990068465	-0.304222634062171
86	8.6	-0.0993826885242015	-0.304222634062171
87	8.7	-0.0993826885242015	-0.304222634062171
88	8.8	-0.101959291612729	-0.304222634062171
89	8.9	-0.0993826885242015	-0.304222634062171
90	9	-0.100670990068465	-0.304222634062171
91	9.1	-0.100670990068465	-0.304222634062171
92	9.2	-0.0993826885242015	-0.304222634062171
93	9.3	-0.100670990068465	-0.304222634062171
94	9.4	-0.101959291612729	-0.304222634062171
95	9.5	-0.0993826885242015	-0.304222634062171
96	9.6	-0.0993826885242015	-0.304222634062171
97	9.7	-0.0993826885242015	-0.304222634062171
98	9.8	-0.0993826885242015	-0.304222634062171
99	9.9	-0.100670990068465	-0.304222634062171
